timestamp,fire_count,fire_frp_sum,fire_brightness_sum
2025-06-21 01:00:00,3,5.23,922.83
2025-06-21 13:00:00,130,728.57,43896.4
2025-06-22 01:00:00,4,10.36,1225.24
2025-06-22 12:00:00,2,4.74,664.99
2025-06-23 01:00:00,2,1.03,604.96
2025-06-23 02:00:00,3,3.09,920.6099999999999
2025-06-23 14:00:00,34,128.47,11413.61
2025-06-24 02:00:00,1,1.08,302.89
2025-06-24 13:00:00,44,234.4,14859.31
2025-06-25 02:00:00,2,4.25,632.31
2025-06-26 01:00:00,1,2.68,306.2
2025-06-27 01:00:00,5,14.1,1543.63
2025-06-27 12:00:00,11,81.88,3697.2799999999997
2025-06-28 03:00:00,1,1.39,303.66
2025-06-28 12:00:00,2,9.04,661.29
2025-06-28 14:00:00,2,5.18,671.11
2025-06-29 13:00:00,13,59.199999999999996,4360.57
2025-06-30 02:00:00,1,1.92,307.92
2025-06-30 13:00:00,2,5.62,667.49
2025-07-01 02:00:00,3,24.76,945.8199999999999
2025-07-01 13:00:00,1,2.67,331.87
2025-07-02 01:00:00,2,3.69,623.96
2025-07-02 13:00:00,21,86.9,7109.34
2025-07-03 01:00:00,1,0.81,304.4
2025-07-03 12:00:00,2,12.1,663.23
2025-07-03 14:00:00,28,111.64,9472.01
2025-07-04 01:00:00,1,5.28,309.11
2025-07-04 02:00:00,3,7.79,923.55
2025-07-04 14:00:00,89,345.58,30001.9
2025-07-08 14:00:00,1,5.6,332.15
2025-07-09 02:00:00,4,27.47,1273.57
2025-07-11 02:00:00,2,2.91,622.1300000000001
2025-07-11 13:00:00,5,19.99,1685.62
2025-07-12 13:00:00,9,38.64,3029.87
2025-07-13 12:00:00,1,5.25,330.31
2025-07-15 02:00:00,1,1.44,304.37
2025-07-16 02:00:00,1,0.34,300.35
2025-07-16 13:00:00,2,10.35,672.0899999999999
2025-07-17 02:00:00,1,1.6,304.93
2025-07-19 01:00:00,3,3.63,917.9000000000001
2025-07-20 02:00:00,6,11.11,1846.42
2025-07-20 14:00:00,1,1.65,330.91
2025-07-21 02:00:00,3,7.0600000000000005,944.4100000000001
2025-07-25 02:00:00,1,0.75,300.41
2025-07-26 02:00:00,2,1.21,621.62
2025-07-27 02:00:00,3,1.7199999999999998,933.22
2025-07-27 13:00:00,1,3.39,330.13
2025-07-28 13:00:00,5,13.46,1672.95
2025-07-29 01:00:00,1,2.35,308.15
2025-07-31 02:00:00,1,4.08,307.62
2025-08-01 02:00:00,1,1.92,309.48
2025-08-02 02:00:00,3,3.73,921.01
2025-08-03 01:00:00,1,1.64,307.6
2025-08-04 01:00:00,1,1.45,305.46
2025-08-05 02:00:00,1,0.68,304.07
2025-08-05 14:00:00,3,13.4,1011.3
2025-08-06 02:00:00,3,4.5,917.51
2025-08-06 13:00:00,2,2.62,661.78
2025-08-07 02:00:00,7,9.0,2146.44
2025-08-08 01:00:00,3,3.87,924.74
2025-08-08 13:00:00,1,3.63,331.86
2025-08-10 01:00:00,1,4.36,295.49
2025-08-10 02:00:00,1,0.79,298.52
2025-08-10 14:00:00,1,1.46,333.19
2025-08-11 02:00:00,1,1.27,306.56
2025-08-11 13:00:00,1,8.28,342.68
2025-08-12 02:00:00,1,1.57,311.45
2025-08-13 13:00:00,1,3.92,343.29
2025-08-16 02:00:00,1,4.03,309.2
2025-08-17 02:00:00,1,2.37,308.46
2025-08-18 02:00:00,3,4.199999999999999,916.1800000000001
2025-08-18 13:00:00,1,5.46,331.19
2025-08-20 01:00:00,1,0.24,302.27
2025-08-21 01:00:00,1,0.65,304.68
2025-08-21 02:00:00,4,4.95,1252.59
2025-08-21 14:00:00,3,19.270000000000003,1021.29
2025-08-22 02:00:00,10,12.61,3079.08
2025-08-22 13:00:00,5,25.96,1677.76
2025-08-23 02:00:00,2,2.29,621.88
2025-08-24 01:00:00,1,1.37,302.46
2025-08-27 02:00:00,1,1.19,303.22
2025-08-29 01:00:00,1,1.15,303.34
2025-08-30 01:00:00,3,6.71,948.03
2025-08-31 01:00:00,2,1.21,599.89
2025-08-31 03:00:00,1,1.93,319.34
2025-09-01 02:00:00,2,3.75,619.39
2025-09-03 02:00:00,1,1.37,307.85
2025-09-04 01:00:00,1,1.4,302.18
2025-09-05 01:00:00,2,1.37,609.27
2025-09-05 03:00:00,3,1.37,911.37
2025-09-07 02:00:00,2,3.1,615.4000000000001
2025-09-08 02:00:00,7,6.17,2155.45
2025-09-08 13:00:00,3,13.120000000000001,1010.51
2025-09-09 01:00:00,3,1.82,907.5699999999999
2025-09-10 01:00:00,2,1.49,606.94
2025-09-11 02:00:00,1,1.28,311.42
2025-09-11 14:00:00,1,3.93,331.53
2025-09-12 02:00:00,5,6.55,1539.99
2025-09-12 13:00:00,3,8.49,1003.3299999999999
2025-09-13 02:00:00,9,9.8,2773.9300000000003
2025-09-13 13:00:00,4,16.080000000000002,1342.57
2025-09-14 01:00:00,4,5.37,1237.8
2025-09-14 13:00:00,9,49.29,3012.24
2025-09-15 01:00:00,2,3.27,616.64
2025-09-15 12:00:00,9,48.760000000000005,3031.75
2025-09-15 14:00:00,3,18.64,991.3199999999999
2025-09-16 03:00:00,2,1.98,616.12
2025-09-16 12:00:00,1,7.02,337.72
2025-09-16 14:00:00,22,139.28,7578.87
2025-09-17 02:00:00,1,1.31,308.47
2025-09-17 13:00:00,1,6.92,334.38
2025-09-17 14:00:00,20,87.23,6743.91
